,user_id,register_time,recently_logged,number_of_classes_join,number_of_classes_out,learn_time,school
183,用户44062,2020/6/12 17:08,2020/6/17 19:35,1,0,"1,605.82",0
184,用户44053,2020/6/12 17:08,2020/6/18 9:39,1,0,"2,483.22",0
185,用户44054,2020/6/12 17:08,2020/6/17 14:19,1,0,"2,350.80",0
186,用户44056,2020/6/12 17:08,2020/6/17 20:06,1,0,"2,828.92",0
187,用户44057,2020/6/12 17:08,2020/6/17 14:56,1,0,125.93,0
188,用户44047,2020/6/12 17:08,2020/6/17 11:46,1,0,"1,528.70",0
189,用户44048,2020/6/12 17:08,2020/6/18 8:28,1,0,"1,757.83",0
190,用户44049,2020/6/12 17:08,2020/6/17 14:08,1,0,778.62,0
191,用户44050,2020/6/12 17:08,2020/6/17 12:19,1,0,"1,368.03",0
192,用户44051,2020/6/12 17:08,2020/6/18 9:39,1,0,979.77,0
193,用户44052,2020/6/12 17:08,2020/6/17 21:10,1,0,"1,163.30",0
194,用户44041,2020/6/12 17:08,2020/6/17 16:30,1,0,"1,629.08",0
195,用户44042,2020/6/12 17:08,2020/6/18 9:47,1,0,"2,026.72",0
196,用户44043,2020/6/12 17:08,2020/6/18 0:22,1,0,"4,024.45",0
197,用户44044,2020/6/12 17:08,2020/6/15 10:23,1,0,74.27,0
198,用户44046,2020/6/12 17:08,2020/6/17 15:54,1,0,"1,628.33",0
199,用户44035,2020/6/12 17:08,2020/6/17 9:38,1,0,"3,342.97",0
200,用户44036,2020/6/12 17:08,2020/6/17 19:50,1,0,"1,545.05",0
201,用户44037,2020/6/12 17:08,2020/6/18 9:47,1,0,"1,820.02",0
202,用户44038,2020/6/12 17:08,2020/6/17 22:13,1,0,"1,106.88",0
203,用户44039,2020/6/12 17:08,2020/6/18 9:40,1,0,"2,175.27",0
204,用户44040,2020/6/12 17:08,2020/6/17 22:16,1,0,"2,431.00",0
205,用户44032,2020/6/12 17:08,2020/6/18 8:57,1,0,"2,300.47",0
206,用户44033,2020/6/12 17:08,2020/6/18 9:03,1,0,"2,269.90",0
207,用户44034,2020/6/12 17:08,2020/6/17 17:02,1,0,856.82,0
208,用户44029,2020/6/12 17:08,2020/6/15 19:07,1,0,0,0
209,用户44030,2020/6/12 17:08,2020/6/18 9:33,1,0,"2,861.77",0
210,用户44031,2020/6/12 17:08,2020/6/17 14:34,2,1,"1,780.28",0
211,用户44028,2020/6/12 16:18,2020/6/12 16:19,0,0,0,0
212,用户44027,2020/6/12 16:00,2020/6/12 16:00,0,0,58.35,湖南大众传媒职业技术学院
213,用户44026,2020/6/12 15:40,2020/6/12 15:41,0,0,80.88,0
214,用户44025,2020/6/12 15:33,2020/6/18 9:44,0,0,"3,061.68",0
215,用户44023,2020/6/12 15:10,2020/6/15 9:43,2,0,"12,280.75",0
216,用户44022,2020/6/12 14:26,2020/6/12 14:26,0,0,2.7,0
217,用户44021,2020/6/12 12:59,2020/6/12 13:01,0,0,50.85,0
218,用户44020,2020/6/12 12:24,2020/6/14 9:47,0,0,70.87,0
219,用户44019,2020/6/12 11:26,2020/6/12 11:26,0,0,0,0
220,用户44018,2020/6/12 11:03,2020/6/12 11:03,1,0,0,0
221,用户44017,2020/6/12 10:49,2020/6/17 6:31,0,0,629.6,0
222,用户44016,2020/6/12 10:48,2020/6/12 10:48,0,0,0,0
223,用户44015,2020/6/12 9:54,2020/6/12 11:10,0,0,30.22,0
224,用户44014,2020/6/12 9:06,2020/6/12 9:06,0,0,2.23,0
225,用户44013,2020/6/12 8:19,2020/6/18 9:23,0,0,42.07,0
226,用户44012,2020/6/12 1:55,2020/6/15 22:34,0,0,873.58,0
227,用户44011,2020/6/11 21:36,2020/6/11 21:36,0,0,2.1,0
228,用户44010,2020/6/11 21:12,2020/6/17 8:48,0,0,"2,182.33",0
229,用户44009,2020/6/11 19:44,2020/6/11 19:45,0,0,0.33,0
230,用户44008,2020/6/11 19:40,2020/6/11 19:41,0,0,21.7,0
231,用户44007,2020/6/11 18:57,2020/6/12 11:44,0,0,39.5,0
232,用户44006,2020/6/11 18:56,2020/6/11 18:56,0,0,0,0
233,用户43972,2020/6/11 18:20,2020/6/11 18:20,1,0,0,桂林电子科技大学
234,用户43973,2020/6/11 18:20,2020/6/11 18:20,1,0,0,桂林电子科技大学
235,用户43967,2020/6/11 18:20,2020/6/11 18:20,1,0,0,桂林电子科技大学
236,用户43968,2020/6/11 18:20,2020/6/11 18:20,1,0,0,桂林电子科技大学
237,用户43969,2020/6/11 18:20,2020/6/11 18:20,1,0,0,桂林电子科技大学
238,用户43970,2020/6/11 18:20,2020/6/11 18:20,1,0,0,桂林电子科技大学
239,用户43971,2020/6/11 18:20,2020/6/11 18:20,1,0,0,桂林电子科技大学
240,用户43966,2020/6/11 18:20,2020/6/11 18:20,1,0,0,桂林电子科技大学
241,用户43962,2020/6/11 18:20,2020/6/11 18:20,1,0,0,广西医科大学
242,用户43963,2020/6/11 18:20,2020/6/11 18:20,1,0,0,广西职业技术学院
243,用户43964,2020/6/11 18:20,2020/6/11 18:20,1,0,0,广西职业技术学院
244,用户43965,2020/6/11 18:20,2020/6/11 18:20,1,0,0,广西职业技术学院
245,用户43958,2020/6/11 18:20,2020/6/11 18:20,1,0,0,广西水利电力职业技术学院
246,用户43959,2020/6/11 18:20,2020/6/11 18:20,1,0,0,广西医科大学
247,用户43960,2020/6/11 18:20,2020/6/11 18:20,1,0,0,广西医科大学
248,用户43961,2020/6/11 18:20,2020/6/11 18:20,1,0,0,广西医科大学
249,用户43957,2020/6/11 18:20,2020/6/11 18:20,1,0,0,广西水利电力职业技术学院
250,用户43951,2020/6/11 18:20,2020/6/11 18:20,1,0,0,广西师范大学
251,用户43952,2020/6/11 18:20,2020/6/11 18:20,1,0,0,广西师范学院
252,用户43953,2020/6/11 18:20,2020/6/11 18:20,2,0,0,广西师范学院
253,用户43954,2020/6/11 18:20,2020/6/11 18:20,1,0,0,广西师范学院
254,用户43955,2020/6/11 18:20,2020/6/11 18:20,1,0,0,广西师范学院
255,用户43956,2020/6/11 18:20,2020/6/11 18:20,1,0,0,广西师院
256,用户43950,2020/6/11 18:20,2020/6/11 18:20,1,0,0,广西师大
257,用户43945,2020/6/11 18:20,2020/6/11 18:20,1,0,0,广西农业职业技术学院
258,用户43946,2020/6/11 18:20,2020/6/11 18:20,1,0,0,广西农业职业技术学院
259,用户43947,2020/6/11 18:20,2020/6/11 18:20,1,0,0,广西农业职业技术学院
260,用户43948,2020/6/11 18:20,2020/6/11 18:20,1,0,0,广西钦州学院
261,用户43949,2020/6/11 18:20,2020/6/11 18:20,1,0,0,广西师大
262,用户43942,2020/6/11 18:20,2020/6/11 18:20,1,0,0,广西民族大学
263,用户43943,2020/6/11 18:20,2020/6/11 18:20,1,0,0,广西民族师范学院
264,用户43944,2020/6/11 18:20,2020/6/11 18:20,1,0,0,广西民族师范学院
265,用户43939,2020/6/11 18:20,2020/6/11 18:20,1,0,0,广西民族大学
266,用户43940,2020/6/11 18:20,2020/6/11 18:20,1,0,0,广西民族大学
267,用户43941,2020/6/11 18:20,2020/6/11 18:20,1,0,0,广西民族大学
268,用户43934,2020/6/11 18:20,2020/6/11 18:20,1,0,0,广西理工职业技术学院
269,用户43935,2020/6/11 18:20,2020/6/11 18:20,1,0,0,广西民族大学
270,用户43936,2020/6/11 18:20,2020/6/11 18:20,1,0,0,广西民族大学
271,用户43937,2020/6/11 18:20,2020/6/11 18:20,1,0,0,广西民族大学
272,用户43938,2020/6/11 18:20,2020/6/11 18:20,1,0,0,广西民族大学
273,用户43933,2020/6/11 18:20,2020/6/11 18:20,1,0,0,广西科技大学
274,用户43927,2020/6/11 18:20,2020/6/11 18:20,1,0,0,广西教育学院
275,用户43928,2020/6/11 18:20,2020/6/11 18:20,1,0,0,广西教育学院
276,用户43929,2020/6/11 18:20,2020/6/11 18:20,1,0,0,广西经济管理干部学院
277,用户43930,2020/6/11 18:20,2020/6/11 18:20,1,0,0,广西科技大学
278,用户43931,2020/6/11 18:20,2020/6/11 18:20,1,0,0,广西科技大学
279,用户43932,2020/6/11 18:20,2020/6/11 18:20,1,0,0,广西科技大学
280,用户43926,2020/6/11 18:20,2020/6/11 18:20,1,0,0,广西教育学院
281,用户43921,2020/6/11 18:20,2020/6/11 18:20,1,0,0,广西机电职业技术学院
282,用户43922,2020/6/11 18:20,2020/6/11 18:20,1,0,0,广西建设职业技术学院
283,用户43923,2020/6/11 18:20,2020/6/11 18:20,1,0,0,广西交通职业技术学院
284,用户43924,2020/6/11 18:20,2020/6/11 18:20,1,0,0,广西交通职业技术学院
285,用户43925,2020/6/11 18:20,2020/6/11 18:20,1,0,0,广西交通职业技术学院
286,用户43918,2020/6/11 18:20,2020/6/11 18:20,1,0,0,广西工学院
287,用户43919,2020/6/11 18:20,2020/6/11 18:20,1,0,0,广西工学院
288,用户43920,2020/6/11 18:20,2020/6/11 18:20,1,0,0,广西工业职业技术学院
289,用户43916,2020/6/11 18:20,2020/6/11 18:20,1,0,0,广西电力职业技术学院
290,用户43917,2020/6/11 18:20,2020/6/11 18:20,1,0,0,广西工学院
291,用户43910,2020/6/11 18:20,2020/6/11 18:20,1,0,0,黄山学院
292,用户43911,2020/6/11 18:20,2020/6/11 18:20,1,0,0,广西大学
293,用户43912,2020/6/11 18:20,2020/6/11 18:20,1,0,0,广西电力职业技术学院
294,用户43913,2020/6/11 18:20,2020/6/11 18:20,1,0,0,广西电力职业技术学院
295,用户43914,2020/6/11 18:20,2020/6/11 18:20,1,0,0,广西电力职业技术学院
296,用户43915,2020/6/11 18:20,2020/6/11 18:20,1,0,0,广西电力职业技术学院
297,用户43904,2020/6/11 18:20,2020/6/11 18:20,1,0,0,巢湖学院
298,用户43905,2020/6/11 18:20,2020/6/11 18:20,1,0,0,巢湖学院
299,用户43906,2020/6/11 18:20,2020/6/11 18:20,1,0,0,淮北师范大学
300,用户43907,2020/6/11 18:20,2020/6/11 18:20,1,0,0,淮北师范大学
301,用户43908,2020/6/11 18:20,2020/6/11 18:20,1,0,0,淮南师范学院
302,用户43909,2020/6/11 18:20,2020/6/11 18:20,1,0,0,黄山学院
303,用户43902,2020/6/11 18:20,2020/6/11 18:20,1,0,0,巢湖学院
304,用户43903,2020/6/11 18:20,2020/6/11 18:20,1,0,0,巢湖学院
305,用户43900,2020/6/11 18:20,2020/6/11 18:20,1,0,0,安徽医科大学
306,用户43901,2020/6/11 18:20,2020/6/11 18:20,1,0,0,巢湖学院
307,用户43894,2020/6/11 18:20,2020/6/11 18:20,1,0,0,安徽机电职业技术学院
308,用户43895,2020/6/11 18:20,2020/6/11 18:20,1,0,0,安徽机电职业技术学院
309,用户43896,2020/6/11 18:20,2020/6/11 18:20,1,0,0,安徽建筑大学数理学院
310,用户43897,2020/6/11 18:20,2020/6/11 18:20,1,0,0,安徽建筑大学数理学院
311,用户43898,2020/6/11 18:20,2020/6/11 18:20,1,0,0,安徽医科大学
312,用户43899,2020/6/11 18:20,2020/6/11 18:20,1,0,0,安徽医科大学
313,用户43889,2020/6/11 18:20,2020/6/11 18:20,1,0,0,安徽工程大学
314,用户43890,2020/6/11 18:20,2020/6/11 18:20,1,0,0,安徽工商职业学院
315,用户43891,2020/6/11 18:20,2020/6/11 18:20,1,0,0,安徽工商职业学院
316,用户43892,2020/6/11 18:20,2020/6/11 18:20,1,0,0,安徽机电职业技术学院
317,用户43893,2020/6/11 18:20,2020/6/11 18:20,1,0,0,安徽机电职业技术学院
318,用户43886,2020/6/11 18:20,2020/6/11 18:20,1,0,0,安徽大学
319,用户43887,2020/6/11 18:20,2020/6/11 18:20,1,0,0,安徽大学
320,用户43888,2020/6/11 18:20,2020/6/11 18:20,1,0,0,安徽工程大学
321,用户43884,2020/6/11 18:06,2020/6/11 18:06,1,0,0,中国人民解放军空军勤务学院
322,用户43885,2020/6/11 18:06,2020/6/11 18:06,1,0,0,中南大学
323,用户43879,2020/6/11 18:06,2020/6/11 18:06,1,0,0,长沙商贸旅游职业技术学院
324,用户43880,2020/6/11 18:06,2020/6/11 18:06,1,0,0,长沙商贸旅游职业技术学院
325,用户43881,2020/6/11 18:06,2020/6/11 18:06,1,0,0,中国地质大学
326,用户43882,2020/6/11 18:06,2020/6/11 18:06,1,0,0,中国地质大学（武汉）
327,用户43883,2020/6/11 18:06,2020/6/11 18:06,1,0,0,中国地质大学（武汉）
328,用户43873,2020/6/11 18:06,2020/6/11 18:06,1,0,0,长江大学
329,用户43874,2020/6/11 18:06,2020/6/11 18:06,1,0,0,长江职业学院
330,用户43875,2020/6/11 18:06,2020/6/11 18:06,1,0,0,长沙航空职业技术学院
331,用户43876,2020/6/11 18:06,2020/6/11 18:06,1,0,0,长沙航空职业技术学院
332,用户43877,2020/6/11 18:06,2020/6/11 18:06,1,0,0,长沙民政学院
333,用户43878,2020/6/11 18:06,2020/6/11 18:06,1,0,0,长沙商贸旅游职业技术学院
334,用户43871,2020/6/11 18:06,2020/6/11 18:06,1,0,0,湘潭大学
335,用户43872,2020/6/11 18:06,2020/6/11 18:06,1,0,0,郧阳师范高等专科
336,用户43868,2020/6/11 18:06,2020/6/11 18:06,1,0,0,武汉软件工程职业学院
337,用户43869,2020/6/11 18:06,2020/6/11 18:06,1,0,0,武汉软件工程职业学院
